Datetime,Water Level (m)
2024-03-28 18:00:00,0.43746603
2024-03-28 19:00:00,0.0675516
2024-03-28 20:00:00,-0.43839914
2024-03-28 21:00:00,-0.9939636
2024-03-28 22:00:00,-1.2606766
2024-03-28 23:00:00,-1.2929821
2024-03-29 00:00:00,-1.11873
2024-03-29 01:00:00,-0.6832149
2024-03-29 02:00:00,-0.17017414
2024-03-29 03:00:00,0.27967322
2024-03-29 04:00:00,0.64142
2024-03-29 05:00:00,0.7738114
2024-03-29 06:00:00,0.6860384
2024-03-29 07:00:00,0.35373303
2024-03-29 08:00:00,-0.11438073
2024-03-29 09:00:00,-0.5585848
2024-03-29 10:00:00,-0.91569555
2024-03-29 11:00:00,-1.0132146
2024-03-29 12:00:00,-0.9774812
2024-03-29 13:00:00,-0.6980605
2024-03-29 14:00:00,-0.2920681
2024-03-29 15:00:00,0.1124223
2024-03-29 16:00:00,0.44337976
2024-03-29 17:00:00,0.5645273
2024-03-29 18:00:00,0.47235134
2024-03-29 19:00:00,0.15805584
2024-03-29 20:00:00,-0.31642622
2024-03-29 21:00:00,-0.80104095
2024-03-29 22:00:00,-1.1155035
2024-03-29 23:00:00,-1.1817205
2024-03-30 00:00:00,-1.168022
2024-03-30 01:00:00,-0.90708417
2024-03-30 02:00:00,-0.46927118
2024-03-30 03:00:00,-0.01156479
2024-03-30 04:00:00,0.37175676
2024-03-30 05:00:00,0.6179694
2024-03-30 06:00:00,0.6722113
2024-03-30 07:00:00,0.50977385
2024-03-30 08:00:00,0.13904709
2024-03-30 09:00:00,-0.2892913
2024-03-30 10:00:00,-0.66386384
2024-03-30 11:00:00,-0.86009234
2024-03-30 12:00:00,-0.8723248
2024-03-30 13:00:00,-0.77118075
2024-03-30 14:00:00,-0.49662718
2024-03-30 15:00:00,-0.13917351
2024-03-30 16:00:00,0.15885301
2024-03-30 17:00:00,0.3644133
2024-03-30 18:00:00,0.37204129
2024-03-30 19:00:00,0.22536796
2024-03-30 20:00:00,-0.104620844
2024-03-30 21:00:00,-0.5034005
